date,total_bytes,tcp_udp_icmp_rate,ipaddr_top
2004-01-01,1704249665,82.92%-11.04%-6.02%,23.6%-23.6%-21.8%-7.6%-6.5%
2004-01-02,1712520390,85.67%-9.41%-4.89%,23.5%-23.5%-6.1%-6.0%-5.4%
2004-01-03,1377724242,91.68%-4.36%-3.95%,32.3%-32.3%-9.2%-6.7%-5.6%
2004-01-04,1550392804,94.38%-2.77%-2.84%,25.5%-25.5%-9.5%-7.0%-5.0%
2004-01-05,2252320737,94.83%-3.18%-1.95%,13.5%-13.5%-7.5%-7.5%-6.9%
2004-01-06,1923507955,94.56%-3.71%-1.70%,15.3%-15.3%-7.0%-4.8%-4.4%
2004-01-07,2089619305,93.73%-4.33%-1.40%,9.8%-9.8%-6.3%-6.3%-4.6%
2004-01-08,2116892682,91.01%-6.59%-1.30%,8.1%-8.1%-5.0%-3.4%-3.1%
2004-01-09,2277018416,95.17%-3.40%-1.40%,8.0%-8.0%-6.1%-4.4%-4.2%
2004-01-10,1857731312,91.36%-7.42%-1.20%,15.6%-15.6%-8.7%-8.7%-6.9%
2004-01-11,1696128757,95.48%-3.20%-1.30%,22.1%-22.1%-11.1%-9.4%-6.4%
2004-01-12,1848438830,89.70%-9.18%-1.10%,16.9%-16.9%-9.6%-9.0%-4.4%
2004-01-13,2256801616,90.40%-8.41%-1.15%,17.3%-17.3%-4.2%-3.6%-3.6%
2004-01-14,2243429924,95.95%-2.82%-1.19%,7.3%-7.3%-5.8%-5.6%-5.2%
2004-01-15,2211179106,96.12%-2.98%-0.86%,4.9%-4.6%-4.0%-3.7%-3.2%
2004-01-16,2219333361,94.00%-5.15%-0.80%,7.2%-7.2%-4.0%-3.8%-3.6%
2004-01-17,1756942558,95.65%-3.53%-0.79%,25.0%-25.0%-8.7%-7.5%-4.1%
2004-01-18,1620803653,94.30%-4.74%-0.95%,21.2%-21.2%-14.5%-14.1%-5.0%
2004-01-19,2163549613,95.55%-3.70%-0.72%,9.5%-8.5%-8.5%-3.9%-3.6%
2004-01-20,2354603396,97.07%-2.34%-0.54%,6.8%-6.8%-4.9%-4.2%-4.0%
2004-01-21,2576751165,94.85%-4.40%-0.68%,8.9%-5.2%-5.2%-4.9%-4.6%
2004-01-22,2293403141,96.83%-2.66%-0.47%,6.5%-4.9%-4.7%-4.6%-4.6%
2004-01-23,2265957822,97.10%-2.27%-0.59%,12.9%-12.9%-6.7%-6.7%-4.9%
2004-01-24,2127737113,96.77%-2.67%-0.55%,10.7%-10.7%-9.9%-6.5%-6.3%
2004-01-25,1899979347,95.66%-3.64%-0.69%,18.2%-18.2%-8.7%-8.4%-6.2%
2004-01-26,2276558791,96.00%-3.35%-0.61%,7.4%-7.4%-5.5%-5.0%-4.2%
2004-01-27,2231790722,95.64%-3.46%-0.48%,8.9%-8.9%-7.5%-3.6%-3.6%
2004-01-28,2155683602,95.91%-2.55%-0.57%,9.7%-9.7%-8.2%-4.4%-3.3%
2004-01-29,2155351361,94.64%-3.87%-0.69%,10.4%-10.4%-4.2%-3.6%-3.2%
2004-01-30,2183258711,94.38%-4.61%-0.60%,8.6%-8.6%-6.4%-6.4%-5.0%
2004-01-31,2125197652,96.04%-3.09%-0.47%,13.2%-13.2%-8.1%-7.9%-6.9%
2004-02-01,1870721608,96.66%-2.77%-0.48%,18.7%-18.5%-13.3%-12.2%-11.8%
