date,total_bytes,tcp_udp_icmp_rate,ipaddr_top
2005-12-31,2261358357,88.18%-9.69%-0.46%,14.5%-5.9%-4.7%-4.6%-4.5%
2006-01-01,2511628537,89.12%-9.25%-0.40%,20.5%-9.5%-8.4%-5.7%-4.4%
2006-01-02,2723714768,86.51%-11.95%-0.43%,24.2%-5.2%-4.9%-4.8%-4.6%
2006-01-03,2631535624,85.92%-12.11%-0.41%,16.6%-5.7%-4.4%-4.1%-3.5%
2006-01-04,2686664066,89.25%-9.87%-0.60%,24.2%-6.1%-5.7%-5.7%-3.7%
2006-01-05,2852929866,87.65%-10.78%-0.66%,10.2%-5.3%-3.8%-3.3%-3.2%
2006-01-06,3372776288,91.35%-7.40%-0.47%,15.8%-5.9%-4.2%-3.8%-2.5%
2006-01-07,3133423593,89.50%-8.17%-0.53%,20.3%-5.5%-5.3%-2.6%-2.6%
2006-01-08,2270109103,86.02%-11.40%-0.79%,32.2%-6.1%-4.9%-4.3%-3.7%
2006-01-09,3001196736,89.98%-7.33%-0.54%,24.0%-3.4%-3.2%-3.2%-3.2%
2006-01-10,3595340664,74.09%-24.18%-0.34%,16.4%-13.7%-9.6%-3.8%-3.0%
2006-01-11,3486109725,87.50%-10.54%-0.61%,11.1%-4.2%-3.5%-2.9%-2.9%
2006-01-12,3568899177,88.95%-8.65%-0.37%,14.8%-2.9%-2.7%-2.7%-2.5%
2006-01-13,3356735084,86.97%-10.47%-0.35%,9.0%-5.1%-3.1%-2.5%-2.4%
2006-01-14,2904567497,88.51%-8.05%-0.53%,18.0%-4.5%-3.2%-2.9%-2.9%
2006-01-15,2617030412,86.30%-11.87%-0.53%,15.4%-7.0%-6.0%-5.1%-5.0%
2006-01-16,3242676246,88.44%-9.40%-0.41%,16.7%-4.0%-4.0%-3.9%-3.1%
2006-01-17,3491072580,88.91%-8.90%-0.48%,11.5%-3.5%-3.2%-2.9%-2.7%
2006-01-18,3558055222,80.07%-17.72%-0.43%,12.8%-5.1%-3.2%-2.7%-2.7%
2006-01-19,3454709496,85.04%-13.33%-0.67%,10.7%-5.2%-3.3%-2.9%-2.8%
2006-01-20,3336805871,82.33%-16.03%-0.54%,12.3%-12.2%-4.2%-2.8%-2.8%
2006-01-21,2932504406,82.73%-16.61%-0.51%,17.8%-15.7%-7.4%-7.4%-4.4%
2006-01-22,2640733532,80.52%-18.60%-0.49%,21.6%-15.7%-5.3%-5.3%-3.1%
2006-01-23,3495944517,91.41%-6.86%-0.33%,19.0%-18.6%-15.6%-2.5%-2.3%
2006-01-24,3473795439,89.56%-8.67%-0.37%,19.5%-3.7%-2.6%-2.5%-2.5%
2006-01-25,3303710008,90.78%-7.56%-0.44%,18.2%-5.4%-4.7%-4.3%-3.5%
